10:41:54 SYS @ POHK5CCD3:CDB$ROOT:>SELECT
10:42:03   2      ash.sample_time,
10:42:03   3      ash.session_id,
10:42:03   4      ash.session_serial#,
10:42:03   5      u.username,
10:42:03   6      ash.sql_id,
10:42:03   7      ash.event,
10:42:03   8      ash.blocking_session
10:42:03   9  FROM
10:42:03  10      dba_hist_active_sess_history ash, dba_users u
10:42:03  11  WHERE
10:42:03  12      ash.sample_time BETWEEN TO_DATE('2024-05-20 13:00:00', 'YYYY-MM-DD HH24:MI:SS')
10:42:03  13                          AND TO_DATE('2024-05-20 14:00:00', 'YYYY-MM-DD HH24:MI:SS')
10:42:03  14  	AND ash.user_id=u.user_id
10:42:03  15  	AND ash.blocking_session is not null
10:42:03  16      AND ash.event LIKE 'enq: TX%' order by 1;

"SAMPLE_TIME","SESSION_ID","SESSION_SERIAL#","USERNAME","SQL_ID","EVENT","BLOCKING_SESSION"
"20-MAY-24 13.00.20.586",971,30818,"CC_NGW_RPT","2t9g43xx2816b","enq: TX - row lock contention",14782
"20-MAY-24 13.00.20.586",1112,37101,"CC_NGW_RPT","2t9g43xx2816b","enq: TX - row lock contention",14782
"20-MAY-24 13.00.20.586",2045,32418,"CC_NGW_RPT","2t9g43xx2816b","enq: TX - row lock contention",14782
"20-MAY-24 13.00.20.586",5356,54037,"CC_NGW_RPT","2t9g43xx2816b","enq: TX - row lock contention",14782
"20-MAY-24 13.00.20.586",12565,7369,"CC_NGW_RPT","2t9g43xx2816b","enq: TX - row lock contention",14782
"20-MAY-24 13.00.20.586",12583,6896,"CC_NGW_RPT","2t9g43xx2816b","enq: TX - row lock contention",14782
"20-MAY-24 13.00.20.586",971,30818,"CC_NGW_RPT","2t9g43xx2816b","enq: TX - row lock contention",14782
"20-MAY-24 13.00.20.586",1112,37101,"CC_NGW_RPT","2t9g43xx2816b","enq: TX - row lock contention",14782
"20-MAY-24 13.00.20.586",2045,32418,"CC_NGW_RPT","2t9g43xx2816b","enq: TX - row lock contention",14782
"20-MAY-24 13.00.20.586",5356,54037,"CC_NGW_RPT","2t9g43xx2816b","enq: TX - row lock contention",14782
"20-MAY-24 13.00.20.586",12565,7369,"CC_NGW_RPT","2t9g43xx2816b","enq: TX - row lock contention",14782
"20-MAY-24 13.00.20.586",12583,6896,"CC_NGW_RPT","2t9g43xx2816b","enq: TX - row lock contention",14782
"20-MAY-24 13.04.12.524",11799,4958,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.04.12.524",1284,11965,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
